"","group1","group2","group_names","diet_names","dietCal","colors","xrange","outliers","mri","light","exc","Total.Mass","Lean.Mass","Fat.Mass","id"
"1","18","17","+/+","LabDiet 5008 3.56kcal/g","3.56","#76C25D","0","No","Yes","6","68","38.1","27.66","9.92","17"
"2","19","20","AdCreERT2/+","LabDiet 5008 3.56kcal/g","3.56","#CF1D5E","47",NA,NA,"18","68","34.3","27.01","6.06","18"
"3","22","21",NA,NA,NA,NA,NA,NA,NA,NA,"68","33.7","27.75","4.66","19"
"4","23","24",NA,NA,NA,NA,NA,NA,NA,NA,"68","31.9","26.48","4.14","20"
"5","32","31",NA,NA,NA,NA,NA,NA,NA,NA,"68","32.1","26.24","4.43","21"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","30","24.62","4.27","22"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","31.1","26.04","3.71","23"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","30.1","25.05","3.9","24"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","32.6","26.83","4.48","31"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","28","23.19","3.79","32"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mouse died",NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
