,group1,group2,group_names,diet_names,dietCal,colors,xrange,outliers,mri,light,exc,Total.Mass,id
1,1,2,WT,LabDiet 5008 3.56kcal/g,3.56,#3B73C7,125,No,No,6,214,44.1,1
2,4,3,KO,LabDiet 5008 3.56kcal/g,3.56,#ED5F00,137,NA,NA,18,214,33.6,2
3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,214,34.8,3
4,8,7,NA,NA,NA,NA,NA,NA,NA,NA,214,36.7,4
5,10,9,NA,NA,NA,NA,NA,NA,NA,NA,214,35.6,5
6,11,12,NA,NA,NA,NA,NA,NA,NA,NA,214,30.9,6
7,13,14,NA,NA,NA,NA,NA,NA,NA,NA,214,33.4,7
8,15,16,NA,NA,NA,NA,NA,NA,NA,NA,214,32.4,8
9,18,17,NA,NA,NA,NA,NA,NA,NA,NA,0,33.7,9
10,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,214,35.4,10
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,37.3,11
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,36.3,12
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,38.8,13
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,42.6,14
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,41,15
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,35.1,16
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,37.1,17
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,34.3,18
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,35.2,19
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MALFUNCTIONING CAGE,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
