,group1,group2,group_names,diet_names,dietCal,colors,xrange,outliers,feedCutoff,mri,light,exc,Total.Mass,Lean.Mass,Fat.Mass,id
1,1_1,1_2,Control,LabDiet 5008 3.56kcal/g,3.56,#000000,18,No,NA,Yes,6,94,39.6,25.345,13.765,1_1
2,1_4,1_3,Cre,LabDiet 5008 3.56kcal/g,3.56,#66CD00,89,NA,NA,NA,18,94,34.75,23.71,10.58,1_2
3,1_5,1_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,30,22.365,7.51,1_3
4,1_8,1_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,41.75,25.02,16.17,1_4
5,1_9,1_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,34.05,24.345,9.07,1_5
6,1_12,1_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,35.95,24.13,11.25,1_6
7,1_13,1_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,36.95,24.165,12.285,1_7
8,1_16,1_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,35.65,23.465,11.7,1_8
9,2_17,2_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,39.95,25.4,14.11,1_9
10,2_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,38.8,24.225,14.2,1_10
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,40.55,24.05,16.16,1_11
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,43.05,25.845,16.76,1_12
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34.25,26.02,8.37,1_13
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,35.85,23.945,11.285,1_14
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,29.85,21.62,7.91,1_15
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,38.3,26.09,12.135,1_16
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,36.65,24.88,11.775,2_17
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,27.7,21.48,5.875,2_18
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,34.35,26.71,6.76,2_19
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
