"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","ee.acc","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","wheel","wheel.acc","pedmeter","allmeter","body.temp","C13","minute","hour","day","exp.minute","exp.hour","exp.day","enviro.light","enviro.temp","enviro.sound"
"1","1",33.5903,"1",2025-04-14 12:49:46,152.67606,118.80972,0.7330999,0.7330999,0.7800006,0.3288617,0.3288617,0,0,236,NA,NA,NA,0.4363969,0.5907174,-1,-1,2025-04-14 12:49:00,2025-04-14 12:00:00,2025-04-14,0,0,0,29.13889,23.31635,1996.616
"2","1",33.5903,"1",2025-04-14 12:52:46,130.5111,105.97596,0.6315536,1.3646535,0.8156249,0.1858783,0.51474,0,0,209,NA,NA,NA,0.6104419,1.057145,-1,-1,2025-04-14 12:52:00,2025-04-14 12:00:00,2025-04-14,3,0,0,30.81111,23.4442,2201.107
"3","1",33.5903,"1",2025-04-14 12:55:46,124.61292,104.2392,0.606388,1.9710415,0.8355411,0,0.51474,0,0,292,NA,NA,NA,0.9639174,1.784355,-1,-1,2025-04-14 12:55:00,2025-04-14 12:00:00,2025-04-14,6,0,0,33,23.34518,7209.094
"4","1",33.5903,"1",2025-04-14 12:58:46,137.99718,115.34592,0.6714195,2.642461,0.8358213,0,0.51474,0,0,409,NA,NA,NA,2.276734,3.472146,-1,-1,2025-04-14 12:58:00,2025-04-14 12:00:00,2025-04-14,9,0,0,33,23.28233,1939.711
"5","1",33.5903,"1",2025-04-14 13:01:46,131.45718,112.3086,0.6422861,3.2847471,0.8556474,0,0.51474,0,0,385,NA,NA,NA,4.858483,6.373905,-1,-1,2025-04-14 13:01:00,2025-04-14 13:00:00,2025-04-14,12,1,0,33,23.38257,1942.208
"6","1",33.59045,"1",2025-04-14 13:04:46,127.28094,110.60184,0.6239399,3.908687,0.8693141,0,0.51474,0,0,288,NA,NA,NA,7.282953,9.062771,-1,-1,2025-04-14 13:04:00,2025-04-14 13:00:00,2025-04-14,15,1,0,33,23.47269,7138.602
"7","1",33.59927,"1",2025-04-14 13:07:46,141.36294,121.24458,0.6912079,4.5998949,0.858174,0,0.51474,0,0,318,NA,NA,NA,8.300072,10.34627,-1,-1,2025-04-14 13:07:00,2025-04-14 13:00:00,2025-04-14,18,1,0,33,23.2596,2006.357
"8","1",33.61312,"1",2025-04-14 13:10:46,141.44058,121.22298,0.69149,5.2913849,0.8570834,0,0.51474,0,0,340,NA,NA,NA,9.954975,12.36894,-1,-1,2025-04-14 13:10:00,2025-04-14 13:00:00,2025-04-14,21,1,0,33,23.3266,2054.629
"9","1",33.62698,"1",2025-04-14 13:13:46,131.19396,113.23464,0.6422729,5.9336578,0.8629037,0,0.51474,0,0,335,NA,NA,NA,11.39526,14.0615,-1,-1,2025-04-14 13:13:00,2025-04-14 13:00:00,2025-04-14,24,1,0,33,23.45215,1977.296
"10","1",33.63134,"1",2025-04-14 13:16:46,138.08178,116.82318,0.6733868,6.6070446,0.8466752,0,0.51474,0,0,360,NA,NA,NA,13.57506,16.55119,-1,-1,2025-04-14 13:16:00,2025-04-14 13:00:00,2025-04-14,27,1,0,33,23.36945,7002.767
"11","1",33.62218,"1",2025-04-14 13:19:46,143.08014,120.0267,0.6966283,7.3036729,0.8392097,0,0.51474,0.01955432,0.01955432,427,NA,NA,NA,16.19736,19.42114,-1,-1,2025-04-14 13:19:00,2025-04-14 13:00:00,2025-04-14,30,1,0,33,23.27508,2014.813
"12","1",33.61291,"1",2025-04-14 13:22:46,133.74078,115.02588,0.654291,7.9579639,0.860674,0,0.51474,0.01603605,0.03559037,378,NA,NA,NA,19.2935,22.76468,-1,-1,2025-04-14 13:22:00,2025-04-14 13:00:00,2025-04-14,33,1,0,33,23.3831,1997.603
"13","1",33.60365,"1",2025-04-14 13:25:46,133.72626,116.0706,0.6553894,8.6133533,0.8679451,0,0.51474,0.000176239999999994,0.03576661,408,NA,NA,NA,21.47076,25.25219,-1,-1,2025-04-14 13:25:00,2025-04-14 13:00:00,2025-04-14,36,1,0,33,23.47754,7737.963
"14","1",33.59677,"1",2025-04-14 13:28:46,140.05722,120.555,0.6852993,9.2986526,0.860802,0,0.51474,0,0.03576661,275,NA,NA,NA,23.38109,27.41625,-1,-1,2025-04-14 13:28:00,2025-04-14 13:00:00,2025-04-14,39,1,0,33,23.25932,2066.358
"15","1",33.59154,"1",2025-04-14 13:31:46,130.24998,111.96588,0.6371495,9.9358021,0.8595341,0,0.51474,0,0.03576661,203,NA,NA,NA,24.01282,28.28424,-1,-1,2025-04-14 13:31:00,2025-04-14 13:00:00,2025-04-14,42,1,0,33,23.32434,2029.206
"16","1",33.58622,"1",2025-04-14 13:34:46,124.26042,106.6989,0.6077192,10.5435213,0.8588759,0,0.51474,0,0.03576661,140,NA,NA,NA,24.01978,28.45238,-1,-1,2025-04-14 13:34:00,2025-04-14 13:00:00,2025-04-14,45,1,0,33,23.44868,2106.98
"17","1",33.58089,"1",2025-04-14 13:37:46,136.887,116.95608,0.6688251,11.2123464,0.8552389,0,0.51474,0,0.03576661,256,NA,NA,NA,24.16193,28.80346,-1,-1,2025-04-14 13:37:00,2025-04-14 13:00:00,2025-04-14,48,1,0,33,23.38491,7289.317
"18","1",33.57557,"1",2025-04-14 13:40:46,144.46116,121.91868,0.7041634,11.9165098,0.8445348,0,0.51474,0,0.03576661,411,NA,NA,NA,25.63113,30.64871,-1,-1,2025-04-14 13:40:00,2025-04-14 13:00:00,2025-04-14,51,1,0,33,23.28175,2013.486
"19","1",33.57024,"1",2025-04-14 13:43:46,143.49948,119.31438,0.6974931,12.6140029,0.8315238,0,0.51474,0,0.03576661,195,NA,NA,NA,26.83198,32.17703,-1,-1,2025-04-14 13:43:00,2025-04-14 13:00:00,2025-04-14,54,1,0,33,23.38349,2018.129
"20","1",33.56491,"1",2025-04-14 13:46:46,131.01708,109.02108,0.6369156,13.2509185,0.8323435,0,0.51474,0,0.03576661,301,NA,NA,NA,26.95644,32.56527,-1,-1,2025-04-14 13:46:00,2025-04-14 13:00:00,2025-04-14,57,1,0,33,23.48936,7259.408
"21","1",33.55959,"1",2025-04-14 13:49:46,127.44486,106.15164,0.619664,13.8705825,0.8333771,0,0.51474,0,0.03576661,432,NA,NA,NA,28.4246,34.44709,-1,-1,2025-04-14 13:49:00,2025-04-14 13:00:00,2025-04-14,60,1,0,33,23.2785,1992.735
"22","1",33.55426,"1",2025-04-14 13:52:46,146.8791,121.17828,0.7128738,14.5834563,0.8255356,0.00424979999999997,0.5189898,3.16500000000011e-05,0.03579826,388,NA,NA,NA,30.55422,36.92778,-1,-1,2025-04-14 13:52:00,2025-04-14 13:00:00,2025-04-14,63,1,0,33,23.32879,1954.896
"23","1",33.54894,"1",2025-04-14 13:55:46,141.5235,117.2991,0.6874769,15.2709332,0.830088,0.00127340000000009,0.5202632,0.00239844,0.0381967,304,NA,NA,NA,32.09901,38.8148,-1,-1,2025-04-14 13:55:00,2025-04-14 13:00:00,2025-04-14,66,1,0,33,23.44889,2054.061
"24","1",33.54361,"1",2025-04-14 13:58:46,116.93202,98.8512,0.5701585,15.8410917,0.84595,0,0.5202632,1.12999999999988e-05,0.038208,234,NA,NA,NA,32.8166,39.84347,-1,-1,2025-04-14 13:58:00,2025-04-14 13:00:00,2025-04-14,69,1,0,33,23.3944,7372.856
"25","1",33.53829,"1",2025-04-14 14:01:46,103.66314,89.77926,0.5078323,16.348924,0.86613,0,0.5202632,0,0.038208,95,NA,NA,NA,32.93456,40.08738,-1,-1,2025-04-14 14:01:00,2025-04-14 14:00:00,2025-04-14,72,2,0,33,23.28436,2026.496
"26","1",33.53296,"1",2025-04-14 14:04:46,100.30116,87.47478,0.492034,16.840958,0.8723882,0,0.5202632,0,0.038208,85,NA,NA,NA,32.95533,40.22171,-1,-1,2025-04-14 14:04:00,2025-04-14 14:00:00,2025-04-14,75,2,0,33,23.38251,1980.75
"27","1",33.52763,"1",2025-04-14 14:07:46,107.22786,91.06596,0.5233039,17.3642619,0.8500874,0,0.5202632,0,0.038208,118,NA,NA,NA,33.02287,40.4767,-1,-1,2025-04-14 14:07:00,2025-04-14 14:00:00,2025-04-14,78,2,0,33,23.48537,7426.155
"28","1",33.52231,"1",2025-04-14 14:10:46,117.3144,98.79816,0.5716068,17.9358687,0.8418033,0,0.5202632,0,0.038208,48,NA,NA,NA,33.03563,40.55906,-1,-1,2025-04-14 14:10:00,2025-04-14 14:00:00,2025-04-14,81,2,0,32.19444,23.26377,2003.631
"29","1",33.51698,"1",2025-04-14 14:13:46,126.68808,106.94622,0.6175602,18.5534289,0.844256,0,0.5202632,0,0.038208,265,NA,NA,NA,33.44375,41.15917,-1,-1,2025-04-14 14:13:00,2025-04-14 14:00:00,2025-04-14,84,2,0,33,23.32147,2042.633
"30","1",33.51166,"1",2025-04-14 14:16:46,128.4963,105.61056,0.6232092,19.1766381,0.8213388,0,0.5202632,0,0.038208,332,NA,NA,NA,34.55562,42.57683,-1,-1,2025-04-14 14:16:00,2025-04-14 14:00:00,2025-04-14,87,2,0,33,23.44383,2045.293
"31","1",33.50633,"1",2025-04-14 14:19:46,120.35166,97.21698,0.5818277,19.7584658,0.8090603,0,0.5202632,0,0.038208,130,NA,NA,NA,35.34722,43.62771,-1,-1,2025-04-14 14:19:00,2025-04-14 14:00:00,2025-04-14,90,2,0,33,23.40048,7081.548
"32","1",33.50101,"1",2025-04-14 14:22:46,100.2807,83.37444,0.4874185,20.2458843,0.8338783,0,0.5202632,0,0.038208,56,NA,NA,NA,35.3645,43.74607,-1,-1,2025-04-14 14:22:00,2025-04-14 14:00:00,2025-04-14,93,2,0,33,23.28614,2223.05
"33","1",33.49568,"1",2025-04-14 14:25:46,90.77142,77.11032,0.4430143,20.6888986,0.8484788,0,0.5202632,0,0.038208,77,NA,NA,NA,35.4071,43.89099,-1,-1,2025-04-14 14:25:00,2025-04-14 14:00:00,2025-04-14,96,2,0,33,23.38412,2099.237
"34","1",33.49036,"1",2025-04-14 14:28:46,92.29854,77.87772,0.4498813,21.1387799,0.8437696,0,0.5202632,0,0.038208,39,NA,NA,NA,35.42508,43.95978,-1,-1,2025-04-14 14:28:00,2025-04-14 14:00:00,2025-04-14,99,2,0,33,23.48827,6770.781
"35","1",33.48503,"1",2025-04-14 14:31:46,96.49242,78.28878,0.466864,21.6056439,0.8127623,0,0.5202632,0,0.038208,31,NA,NA,NA,35.42904,43.99276,-1,-1,2025-04-14 14:31:00,2025-04-14 14:00:00,2025-04-14,102,2,0,33,23.27219,2019.109
