,group1,group2,group_names,diet_names,dietCal,colors,xrange,outliers,mri,light,exc,Mass.Change,Total.Mass,Lean.Mass,Fat.Mass,id
1,2,1,Control,ResearchDiet 60 kcal% Fat 5.21kcal/g,5.21,#3B73C7,14,No,Yes,6,93,-1.5,30.5,20.36,10.07,1
2,4,3,Cre,ResearchDiet 60 kcal% Fat 5.21kcal/g,5.21,#ED5F00,85,NA,NA,18,93,-0.5,28.7,21.42,6.97,2
3,6,5,NA,NA,NA,NA,NA,NA,NA,NA,93,-0.9,30.9,20.92,9.38,3
4,8,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4
5,9,11,NA,NA,NA,NA,NA,NA,NA,NA,93,1,30,20.78,9.03,5
6,10,14,NA,NA,NA,NA,NA,NA,NA,NA,93,0.5,30,18.91,8.75,6
7,12,15,NA,NA,NA,NA,NA,NA,NA,NA,93,-0.2,25.6,20.34,4.48,7
8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,0.1,33.1,23.18,9.67,8
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,-1.2,33.3,21.86,11.36,9
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,1.1,30.9,23.24,7.33,10
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,-0.7,22.8,18.97,3.57,11
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,-1.5,33.7,20.3,13.15,12
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,-1.9,31.5,20.94,10.34,13
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,-0.2,27.4,20.08,6.85,14
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,-0.1,29,22.34,6.52,15
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mouse died in process of MRI,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
