,group1,group2,group_names,diet_names,dietCal,colors,xrange,outliers,errorbars,mri,light,exc,Total.Mass,id
1,1,2,Vehicle (Example),LabDiet 5008 3.56kcal/g,3.56,#DB9214,163,No,Yes,No,6,190,27.6,1
2,4,3,T3 (Example),LabDiet 5008 3.56kcal/g,3.56,#3A8742,187,NA,NA,,18,190,29.2,2
3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,27.5,3
4,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,28.8,4
5,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,29.5,5
6,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,31,6
7,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,27.6,7
8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,31,8
9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,27.2,9
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,30,10
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29.6,11
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,29.4,12
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,28.1,13
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,30.1,14
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,26.5,15
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,26.9,16
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flow rate error,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high vo2,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
