experiment_id,subject_id,species,tissue,group,time_of_day,body_mass_g,lean_mass_g,fat_mass_g,energy_expenditure_kcal_hr,food_intake_kcal_hr,water_intake_ml_hr,vo2_ml_hr,vco2_ml_hr,rer,locomotor_activity_beam_breaks_hr,pedestrian_locomotion_m_hr,body_temperature_c,distance_in_cage_m_hr,energy_balance_kcal_hr,experiment_start_time,experiment_end_time,experiment_duration_hr,diet_name,diet_kcal_g,age,strain,genetic_background,sex,ambient_temperature_c,quality_score,system,pmid,location,treatment,investigator,total_food_kcal,total_water_ml,total_pedestrian_locomotion_m,total_distance_in_cage_m,wheel_counts,avg_daily_food_intake_kcal_period,avg_daily_water_intake_ml_period,avg_daily_energy_expenditure_kcal_period,avg_daily_energy_balance_kcal_period,avg_daily_pedestrian_locomotion_m_period,avg_daily_distance_in_cage_m_period,litter,bedding,ee_calculation_method,enrichment
CalR000230,10C_10,Mouse,Whole Body,10C,Light,29.9,NA,NA,0.698271698,0.554774578,0.06372,135.2348522,120.1445414,0.883504467,83.242,16.42811111,35.61762328,21.60791667,0.49658527,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,17,C57BL/6J,C57BL/6,male,10,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,19.9718848,2.29392,321.596,420.731,NA,6.657294933,0.76464,0.698271698,5.959023235,197.1373333,259.295,8,wood chip,Weir,body mass hoppers
CalR000230,10C_11,Mouse,Whole Body,10C,Light,32,NA,NA,0.796613613,0.471515078,0.085688889,156.0867098,139.5470456,0.888736888,130.866,18.55791667,35.52546524,25.26502778,0.40513061,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,17,C57BL/6J,C57BL/6,male,10,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,16.9745428,3.0848,351.658,475.133,NA,5.658180933,1.028266667,0.796613613,4.861567321,222.695,303.1803333,8,wood chip,Weir,body mass hoppers
CalR000230,10C_13,Mouse,Whole Body,10C,Light,32.8,NA,NA,0.828261239,0.526187778,0.086690278,160.9738109,144.1265651,0.889936846,91.504,19.30663889,35.24950416,24.44725,0.457166008,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,17,C57BL/6J,C57BL/6,male,10,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,18.94276,3.12085,369.941,467.559,NA,6.314253333,1.040283333,0.828261239,5.485992094,231.6796667,293.367,8,wood chip,Weir,body mass hoppers
CalR000230,10C_14,Mouse,Whole Body,10C,Light,27.8,NA,NA,0.77608696,0.419518311,0.0991,150.2709598,134.5818049,0.887556181,128.826,15.43627778,35.59452636,21.28736111,0.354844398,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,17,C57BL/6J,C57BL/6,male,10,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,15.1026592,3.5676,306.302,416.923,NA,5.034219733,1.1892,0.77608696,4.258132773,185.2353333,255.4483333,8,wood chip,Weir,body mass hoppers
CalR000230,10C_15,Mouse,Whole Body,10C,Light,28.9,NA,NA,0.78626371,0.6801558,0.043810833,152.8007059,152.441495,0.994417562,87.264,14.333,33.85704348,19.13788889,0.614633824,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,17,C57BL/6J,C57BL/6,male,10,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,24.4856088,1.57719,281.167,375.408,NA,8.1618696,0.52573,0.78626371,7.37560589,171.996,229.6546667,8,wood chip,Weir,body mass hoppers
CalR000230,10C_9,Mouse,Whole Body,10C,Light,30.2,NA,NA,0.684670882,0.471186767,0.045744167,135.9230357,120.7131765,0.864824301,82.564,16.63216389,35.61196858,21.2765,0.41413086,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,17,C57BL/6J,C57BL/6,male,10,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,16.9627236,1.64679,303.9373,391.435,NA,5.6542412,0.54893,0.684670882,4.969570318,199.5859667,255.318,8,wood chip,Weir,body mass hoppers
CalR000230,14C_10,Mouse,Whole Body,14C,Light,29.4,NA,NA,0.619542982,0.412483059,0.035312472,116.6200558,100.3802066,0.855290687,110.32,22.06000278,35.8174588,28.35224444,0.360854477,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,16,C57BL/6J,C57BL/6,male,14,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,14.84939012,1.271249,452.3694,577.0796,NA,4.949796707,0.423749667,0.619542982,4.330253725,264.7200333,340.2269333,8,wood chip,Weir,body mass hoppers
CalR000230,14C_11,Mouse,Whole Body,14C,Light,32.1,NA,NA,0.6598044,0.310473237,0.041686111,128.7903845,109.8957901,0.848572303,116.79,23.42869167,35.6627391,30.01914167,0.255489537,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,16,C57BL/6J,C57BL/6,male,14,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,11.17703652,1.5007,478.896,605.7005,NA,3.72567884,0.500233333,0.6598044,3.06587444,281.1443,360.2297,8,wood chip,Weir,body mass hoppers
CalR000230,14C_12,Mouse,Whole Body,14C,Light,29.7,NA,NA,0.665844211,0.31704915,0.024821528,122.2933246,109.2003732,0.885425268,91.74,21.07585,35.59599118,26.91596944,0.261562132,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,16,C57BL/6J,C57BL/6,male,14,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,11.4137694,0.893575,447.4139,564.6028,NA,3.8045898,0.297858333,0.665844211,3.138745589,252.9102,322.9916333,8,wood chip,Weir,body mass hoppers
CalR000230,14C_13,Mouse,Whole Body,14C,Light,32.5,NA,NA,0.67765685,0.354467222,0.09103125,136.6635476,117.3999605,0.852918297,84.598,23.82391389,35.68533952,29.22235278,0.297995818,11/8/2025 6:02,11/10/2025 15:02,57,LabDiet 5008 3.56kcal/g,3.56,16,C57BL/6J,C57BL/6,male,14,0,Sable Systems Promethion,NA,BIDMC,Starr Temperature probe implantation,Alexander Banks,12.76082,3.277125,484.6966,590.2489,NA,4.253606667,1.092375,0.67765685,3.575949817,285.8869667,350.6682333,8,wood chip,Weir,body mass hoppers
